TT				PID				AT				CT				IO_D					WT				RT				TRT
507				182				448				39				0 						60				448				60
507				197				487				20				0 						17				487				21
507				201				489				19				0 						19				489				19
529				6				2				33				15 						495				2				528
529				207				529				1				0 						1				529				1
547				203				509				39				0 						0				509				39
547				205				515				33				0 						32				515				33
547				204				509				39				0 						39				509				39
547				35				35				36				18 						477				35				513
561				28				25				48				23 						489				25				537
561				135				290				41				0 						235				290				272
561				206				519				29				0 						43				519				43
563				25				23				49				25 						492				23				541
563				213				557				18				0 						7				557				7
563				134				290				41				0 						244				290				274
563				199				488				40				0 						76				488				76
564				34				34				18				23 						513				34				531
566				209				534				32				0 						1				534				33
566				212				538				29				0 						29				538				29
566				210				535				32				0 						32				535				32
566				15				12				48				6 						507				12				555
566				211				535				31				0 						32				535				32
566				200				488				33				0 						73				488				79
566				198				487				34				0 						77				487				80
566				193				477				34				0 						60				477				90
566				208				532				20				0 						35				532				35
574				14				11				37				7 						527				11				564

Processes: 213
Avg WT: 75, 		Avg RT = 222, 		Avg TRT = 86
Migration %: 			RTF = 0%, 		MaxW = 12.6761%
Work Steal %: 4.69484%
Forked Process: 83.5681%
Killed Process: 0.938967%
Early Process: 8.4507%

Processors: 6[4 FCFS, 0 SJR, 1 RR, 1 EDF]
Processors Load
p1 = 2.31409%,		p2 = 2.06964%,		p3 = 2.04791%,		p4 = 2.10223%,		p5 = 2.50421%,		p6 = 2.03705%


Processors Utiliz
p1 = 85.2%,		p2 = 80.2105%,		p3 = 78.5417%,		p4 = 78.9796%,		p5 = 90.3922%,		p6 = 75.7576%
Avg utilization = 81.5136
