TT				PID				AT				CT				IO_D					WT				RT				TRT
367				191				332				2				0 						34				332				36
367				209				367				1				0 						1				367				1
367				207				366				2				0 						2				366				2
368				30				28				3				28 						338				28				341
368				210				368				1				0 						1				368				1
369				18				17				13				31 						340				17				353
369				208				367				3				0 						3				367				3
369				206				366				4				0 						4				366				4
371				20				18				8				8 						346				18				354
371				212				370				2				0 						2				370				2
371				214				371				1				0 						1				371				1
372				29				27				32				10 						314				27				346
372				195				334				21				0 						39				334				39
372				193				333				22				0 						40				333				40
375				163				253				4				0 						119				253				123
375				216				373				3				0 						3				373				3
375				215				372				4				0 						4				372				4
378				164				254				3				0 						122				254				125
378				220				377				2				0 						2				377				2
378				219				376				3				0 						3				376				3
388				200				360				16				0 						13				360				29
388				218				374				15				0 						15				374				15
388				217				373				16				0 						16				373				16
395				196				348				27				0 						21				348				48
395				213				370				26				0 						26				370				26
395				211				369				27				0 						27				369				27
398				118				127				37				0 						235				127				272
398				203				362				37				0 						17				362				37
398				221				379				37				0 						20				379				20
398				204				363				36				0 						36				363				36
398				222				380				36				0 						19				380				19
404				32				29				38				12 						338				29				376
404				226				398				7				0 						1				398				7
404				227				399				7				0 						6				399				6
404				223				395				10				0 						10				395				10
404				229				400				6				0 						5				400				5
413				202				361				15				0 						38				361				53
413				228				399				15				0 						6				399				15
413				231				405				15				0 						9				405				9
413				233				406				14				0 						8				406				8
413				230				400				14				0 						14				400				14
417				15				16				7				22 						395				16				402
417				239				417				1				0 						1				417				1
423				234				413				6				0 						5				413				11
423				241				419				5				0 						5				419				5
423				240				418				6				0 						6				418				6
427				232				405				14				0 						9				405				23
427				244				424				14				0 						4				424				4
427				237				415				13				0 						13				415				13
427				235				414				14				0 						11				414				14
427				245				425				13				0 						3				425				3
438				225				397				25				0 						17				397				42
438				236				414				25				0 						14				414				25
438				248				428				23				0 						11				428				11
438				246				427				24				0 						12				427				12
438				249				429				24				0 						10				429				10
438				238				415				24				0 						13				415				24
438				247				428				25				0 						11				428				11
438				13				14				39				38 						386				14				425
438				243				422				25				0 						17				422				17
438				250				438				1				0 						1				438				1
438				224				396				26				0 						25				396				43
438				242				421				26				0 						18				421				18
440				26				23				23				19 						395				23				418
440				254				439				2				0 						2				439				2
440				251				439				2				0 						1				439				2
440				255				440				1				0 						1				440				1
440				252				439				2				0 						1				439				2
440				253				439				2				0 						1				439				2

Processes: 255
Avg WT: 56, 		Avg RT = 189, 		Avg TRT = 63
Migration %: 			RTF = 0%, 		MaxW = 0%
Work Steal %: 0.784314%
Forked Process: 86.2745%
Killed Process: 2.7451%

Processors: 4[4 FCFS, 0 SJR, 0RR]
Processors Load
p1 = 2.70639%,		p2 = 2.70019%,		p3 = 2.70639%,		p4 = 2.70019%


Processors Utiliz
p1 = 99.093%,		p2 = 98.8662%,		p3 = 99.093%,		p4 = 98.8662%
Avg utilization = 98.9796
